time,gFx,gFy,gFz,TgF
0.001763333,-0.3305,-0.0126,0.9318,0.989
0.002460416,-0.3339,-0.0097,0.9259,0.984
0.003344479,-0.3344,-0.0092,0.9191,0.978
0.003931718,-0.3363,-0.0092,0.9122,0.972
0.008811614,-0.3373,-0.0092,0.9108,0.971
0.009273958,-0.3354,-0.0087,0.9064,0.966
0.011682708,-0.3334,-0.0062,0.9064,0.966
0.011976927,-0.3359,-0.0053,0.9093,0.969
0.01916802,-0.3359,-0.0033,0.9108,0.971
0.019621875,-0.3359,-0.0009,0.9142,0.974
0.024235781,-0.3378,-0.0009,0.9152,0.976
0.025422239,-0.3403,-0.0004,0.9181,0.979
0.028395364,-0.3432,-0.0004,0.9220,0.984
0.028787604,-0.3442,-0.0004,0.9240,0.986
0.032488437,-0.3451,-0.0009,0.9274,0.990
0.032852812,-0.3466,-0.0033,0.9313,0.994
0.03695526,-0.3495,-0.0053,0.9347,0.998
0.037576093,-0.3486,-0.0082,0.9376,1.000
0.043680781,-0.3471,-0.0116,0.9401,1.002
0.044578489,-0.3447,-0.0131,0.9401,1.001
0.047539479,-0.3427,-0.0150,0.9391,1.000
0.047931562,-0.3412,-0.0170,0.9381,0.998
0.053569948,-0.3393,-0.0189,0.9357,0.995
0.054918385,-0.3363,-0.0214,0.9367,0.995
0.058565625,-0.3315,-0.0238,0.9367,0.994
0.059446823,-0.3261,-0.0233,0.9391,0.994
0.06140875,-0.3241,-0.0228,0.9469,1.001
0.06183276,-0.3236,-0.0228,0.9484,1.002
0.067054895,-0.3256,-0.0248,0.9494,1.004
0.067471406,-0.3246,-0.0263,0.9504,1.005
0.071727291,-0.3246,-0.0297,0.9484,1.003
0.072135312,-0.3266,-0.0297,0.9479,1.003
0.077689739,-0.3271,-0.0302,0.9460,1.001
0.078134948,-0.3276,-0.0311,0.9420,0.998
0.081309479,-0.3256,-0.0321,0.9411,0.996
0.081727187,-0.3261,-0.0336,0.9396,0.995
0.086953125,-0.3276,-0.0321,0.9376,0.994
0.088025052,-0.3261,-0.0331,0.9362,0.992
0.091698802,-0.3266,-0.0336,0.9333,0.989
0.09223125,-0.3256,-0.0336,0.9362,0.992
0.096492968,-0.3236,-0.0331,0.9396,0.994
0.09683125,-0.3212,-0.0336,0.9420,0.996
0.105931406,-0.3207,-0.0336,0.9484,1.002
0.106635573,-0.3197,-0.0341,0.9538,1.007
0.111093593,-0.3183,-0.0351,0.9591,1.011
0.111640989,-0.3207,-0.0346,0.9635,1.016
0.113879218,-0.3217,-0.0365,0.9650,1.018
0.114456145,-0.3241,-0.0380,0.9640,1.018
0.119588177,-0.3290,-0.0360,0.9621,1.017
0.120144531,-0.3329,-0.0355,0.9552,1.012
0.127605937,-0.3324,-0.0380,0.9513,1.008
0.128135885,-0.3315,-0.0380,0.9479,1.005
0.128381927,-0.3305,-0.0380,0.9445,1.001
0.12857552,-0.3290,-0.0399,0.9396,0.996
0.13269,-0.3280,-0.0404,0.9342,0.991
0.133215677,-0.3285,-0.0385,0.9289,0.986
0.145865364,-0.3285,-0.0370,0.9254,0.983
0.146577968,-0.3300,-0.0351,0.9235,0.981
0.146947864,-0.3305,-0.0326,0.9215,0.980
0.1472225,-0.3300,-0.0287,0.9225,0.980
0.147936718,-0.3295,-0.0263,0.9249,0.982
0.148261823,-0.3295,-0.0224,0.9269,0.984
0.160146614,-0.3300,-0.0209,0.9284,0.985
0.160739791,-0.3310,-0.0189,0.9308,0.988
0.161021614,-0.3310,-0.0194,0.9333,0.990
0.161271458,-0.3315,-0.0199,0.9357,0.993
0.164166927,-0.3280,-0.0219,0.9352,0.991
0.164710052,-0.3280,-0.0219,0.9337,0.990
0.167262708,-0.3300,-0.0219,0.9342,0.991
0.167765885,-0.3324,-0.0214,0.9333,0.991
0.173169791,-0.3300,-0.0204,0.9352,0.992
0.174074375,-0.3295,-0.0175,0.9357,0.992
0.180231197,-0.3285,-0.0150,0.9357,0.992
0.180753593,-0.3280,-0.0150,0.9372,0.993
0.182162135,-0.3310,-0.0160,0.9362,0.993
0.182790208,-0.3329,-0.0165,0.9357,0.993
0.196034947,-0.3368,-0.0180,0.9367,0.996
0.196755937,-0.3393,-0.0170,0.9342,0.994
0.197119843,-0.3388,-0.0184,0.9328,0.993
0.197383697,-0.3403,-0.0194,0.9293,0.990
0.197691406,-0.3432,-0.0209,0.9308,0.992
0.198046614,-0.3437,-0.0214,0.9333,0.995
0.214749375,-0.3461,-0.0219,0.9362,0.998
0.215494375,-0.3466,-0.0214,0.9420,1.004
0.215972031,-0.3447,-0.0243,0.9479,1.009
0.216289531,-0.3442,-0.0272,0.9504,1.011
0.216563958,-0.3451,-0.0277,0.9547,1.016
0.216820572,-0.3456,-0.0292,0.9587,1.019
0.218846979,-0.3427,-0.0326,0.9596,1.020
0.219330625,-0.3417,-0.0341,0.9631,1.022
0.222870364,-0.3422,-0.0360,0.9684,1.028
0.223326614,-0.3417,-0.0380,0.9704,1.029
0.228980312,-0.3427,-0.0385,0.9714,1.031
0.229344062,-0.3442,-0.0395,0.9748,1.035
0.242705729,-0.3447,-0.0409,0.9767,1.037
0.243302135,-0.3451,-0.0395,0.9772,1.037
0.243596562,-0.3437,-0.0409,0.9767,1.036
0.243851458,-0.3427,-0.0429,0.9767,1.036
0.24408875,-0.3407,-0.0439,0.9758,1.034
0.244347343,-0.3417,-0.0473,0.9758,1.035
0.249320937,-0.3403,-0.0512,0.9728,1.032
0.250017031,-0.3398,-0.0531,0.9699,1.029
0.259938802,-0.3432,-0.0522,0.9670,1.027
0.260550416,-0.3466,-0.0522,0.9655,1.027
0.26078901,-0.3456,-0.0512,0.9631,1.024
0.260969791,-0.3461,-0.0478,0.9616,1.023
0.263427604,-0.3486,-0.0443,0.9577,1.020
0.26380026,-0.3505,-0.0443,0.9552,1.018
0.26796401,-0.3530,-0.0443,0.9538,1.018
0.268385104,-0.3539,-0.0434,0.9557,1.020
0.277608072,-0.3505,-0.0443,0.9587,1.022
0.278865781,-0.3495,-0.0443,0.9591,1.022
0.282619583,-0.3515,-0.0458,0.9596,1.023
0.282972291,-0.3505,-0.0453,0.9611,1.024
0.283480781,-0.3505,-0.0458,0.9655,1.028
0.28541625,-0.3471,-0.0468,0.9655,1.027
0.29114927,-0.3481,-0.0478,0.9645,1.027
0.29166026,-0.3451,-0.0483,0.9650,1.026
0.29401625,-0.3403,-0.0492,0.9635,1.023
0.294486354,-0.3378,-0.0483,0.9655,1.024
0.301784322,-0.3393,-0.0458,0.9665,1.025
0.302398802,-0.3412,-0.0429,0.9679,1.027
0.303871666,-0.3417,-0.0424,0.9675,1.027
0.304217187,-0.3407,-0.0409,0.9665,1.026
0.314095156,-0.3383,-0.0414,0.9650,1.023
0.315069322,-0.3388,-0.0404,0.9640,1.023
0.315396093,-0.3383,-0.0380,0.9591,1.018
0.3156475,-0.3354,-0.0380,0.9552,1.013
0.318172083,-0.3344,-0.0351,0.9508,1.009
0.31874651,-0.3324,-0.0355,0.9479,1.005
0.328173906,-0.3310,-0.0370,0.9450,1.002
0.328801614,-0.3310,-0.0360,0.9406,0.998
0.329126302,-0.3295,-0.0346,0.9367,0.994
0.3294,-0.3290,-0.0351,0.9352,0.992
0.335002291,-0.3251,-0.0336,0.9328,0.988
0.335615364,-0.3227,-0.0346,0.9323,0.987
0.353012447,-0.3202,-0.0336,0.9303,0.984
0.353819427,-0.3207,-0.0336,0.9274,0.982
0.3541175,-0.3192,-0.0336,0.9269,0.981
0.354343906,-0.3173,-0.0321,0.9249,0.978
0.354551979,-0.3163,-0.0321,0.9220,0.975
0.354758385,-0.3148,-0.0311,0.9186,0.972
0.355673229,-0.3139,-0.0307,0.9152,0.968
0.356022604,-0.3119,-0.0277,0.9093,0.962
0.35909552,-0.3105,-0.0277,0.9064,0.958
0.36003651,-0.3114,-0.0277,0.8995,0.952
0.36625776,-0.3134,-0.0277,0.8946,0.948
0.367109375,-0.3183,-0.0282,0.8917,0.947
0.367749791,-0.3202,-0.0268,0.8903,0.946
0.368214583,-0.3212,-0.0272,0.8878,0.945
0.374483593,-0.3236,-0.0258,0.8859,0.943
0.375933645,-0.3261,-0.0258,0.8839,0.942
0.378969583,-0.3271,-0.0268,0.8844,0.943
0.379770416,-0.3280,-0.0277,0.8859,0.945
0.383298072,-0.3310,-0.0263,0.8878,0.948
0.383685104,-0.3315,-0.0263,0.8903,0.950
0.391777395,-0.3344,-0.0263,0.8922,0.953
0.392358697,-0.3373,-0.0258,0.8961,0.958
0.392689999,-0.3383,-0.0253,0.8986,0.960
0.39293802,-0.3407,-0.0263,0.9030,0.965
0.400912812,-0.3398,-0.0268,0.9054,0.967
0.401306822,-0.3393,-0.0282,0.9078,0.970
0.403102499,-0.3407,-0.0282,0.9122,0.974
0.403907395,-0.3383,-0.0282,0.9161,0.977
0.410623072,-0.3368,-0.0292,0.9186,0.979
0.411092916,-0.3373,-0.0272,0.9215,0.982
0.414236406,-0.3378,-0.0287,0.9235,0.984
0.415691354,-0.3403,-0.0297,0.9254,0.986
0.419942552,-0.3383,-0.0287,0.9289,0.989
0.420749947,-0.3373,-0.0282,0.9328,0.992
0.42819802,-0.3407,-0.0292,0.9352,0.996
0.428756354,-0.3383,-0.0287,0.9362,0.996
0.429071197,-0.3373,-0.0263,0.9386,0.998
0.429316093,-0.3403,-0.0268,0.9420,1.002
0.434636406,-0.3354,-0.0258,0.9455,1.004
0.435666145,-0.3339,-0.0248,0.9479,1.005
0.440035156,-0.3373,-0.0248,0.9499,1.008
0.440890312,-0.3344,-0.0263,0.9513,1.009
0.446276718,-0.3285,-0.0248,0.9552,1.010
0.446845468,-0.3276,-0.0277,0.9562,1.011
0.450310989,-0.3202,-0.0297,0.9572,1.010
0.450947812,-0.3246,-0.0307,0.9582,1.012
0.466219739,-0.3217,-0.0307,0.9596,1.013
0.467079479,-0.3217,-0.0302,0.9606,1.013
0.467387447,-0.3207,-0.0282,0.9631,1.015
0.467630781,-0.3197,-0.0272,0.9635,1.016
0.467843072,-0.3148,-0.0258,0.9660,1.016
0.46807901,-0.3119,-0.0263,0.9704,1.020
0.470352187,-0.3124,-0.0248,0.9719,1.021
0.472777083,-0.3134,-0.0224,0.9728,1.022
0.476172395,-0.3119,-0.0209,0.9758,1.025
0.476724999,-0.3114,-0.0189,0.9767,1.025
0.481356197,-0.3095,-0.0170,0.9777,1.026
0.48195026,-0.3065,-0.0160,0.9802,1.027
0.485200937,-0.3031,-0.0131,0.9841,1.030
0.485885781,-0.3026,-0.0097,0.9885,1.034
0.496412656,-0.2997,-0.0072,0.9914,1.036
0.497268749,-0.2977,-0.0057,0.9958,1.039
0.497576197,-0.2934,-0.0033,0.9997,1.042
0.497979583,-0.2929,-0.0048,1.0026,1.045
0.501408229,-0.2934,-0.0053,1.0061,1.048
0.502093333,-0.2934,-0.0067,1.0080,1.050
0.507978906,-0.2914,-0.0087,1.0095,1.051
0.508873124,-0.2890,-0.0101,1.0095,1.050
0.509206874,-0.2885,-0.0145,1.0109,1.051
0.509491249,-0.2870,-0.0180,1.0119,1.052
0.514272291,-0.2870,-0.0214,1.0114,1.052
0.514702499,-0.2860,-0.0263,1.0085,1.049
0.522873281,-0.2855,-0.0302,1.0080,1.048
0.523923229,-0.2841,-0.0341,1.0041,1.044
0.528236093,-0.2850,-0.0365,0.9997,1.040
0.528776927,-0.2880,-0.0390,0.9904,1.032
0.529011249,-0.2885,-0.0434,0.9787,1.021
0.529228124,-0.2904,-0.0502,0.9635,1.008
0.535719843,-0.2924,-0.0590,0.9484,0.994
0.536206874,-0.2963,-0.0658,0.9352,0.983
0.54158526,-0.2968,-0.0678,0.9220,0.971
0.542599791,-0.2973,-0.0697,0.9142,0.964
0.545077604,-0.2977,-0.0673,0.9064,0.956
0.545415104,-0.2968,-0.0624,0.9030,0.953
0.54886651,-0.2968,-0.0575,0.9030,0.952
0.549212552,-0.2948,-0.0487,0.9049,0.953
0.55817927,-0.2934,-0.0414,0.9054,0.953
0.558842916,-0.2904,-0.0355,0.9074,0.953
0.559066302,-0.2831,-0.0302,0.9103,0.954
0.559264947,-0.2782,-0.0238,0.9127,0.954
0.564268385,-0.2738,-0.0219,0.9137,0.954
0.564668541,-0.2728,-0.0199,0.9142,0.954
0.569902812,-0.2714,-0.0219,0.9118,0.952
0.570861874,-0.2709,-0.0224,0.9127,0.952
0.578602083,-0.2719,-0.0228,0.9113,0.951
0.579060885,-0.2753,-0.0219,0.9103,0.951
0.580577447,-0.2723,-0.0189,0.9108,0.951
0.580889531,-0.2670,-0.0204,0.9078,0.947
0.584382604,-0.2650,-0.0136,0.9064,0.944
0.584720781,-0.2621,-0.0160,0.9030,0.940
0.588505156,-0.2577,-0.0140,0.9005,0.937
0.58913302,-0.2499,-0.0126,0.8932,0.928
0.594840416,-0.2435,-0.0140,0.8927,0.925
0.595237864,-0.2464,-0.0097,0.8912,0.925
0.60016052,-0.2513,-0.0101,0.8932,0.928
0.600750624,-0.2484,-0.0067,0.9010,0.935
0.609755885,-0.2479,-0.0077,0.9020,0.935
0.61072026,-0.2450,-0.0106,0.9039,0.937
0.611071249,-0.2391,-0.0092,0.9049,0.936
0.611321614,-0.2323,-0.0150,0.9025,0.932
0.615589062,-0.2289,-0.0228,0.9015,0.930
0.61612677,-0.2259,-0.0253,0.9025,0.931
0.624042864,-0.2142,-0.0321,0.9039,0.930
0.624915104,-0.2157,-0.0370,0.9127,0.939
0.625179531,-0.2166,-0.0355,0.9166,0.943
0.625408124,-0.2254,-0.0375,0.9171,0.945
0.640399947,-0.2318,-0.0355,0.9220,0.951
0.641500572,-0.2308,-0.0395,0.9220,0.951
0.641885468,-0.2308,-0.0497,0.9191,0.949
0.642201458,-0.2367,-0.0502,0.9152,0.947
0.642488541,-0.2376,-0.0566,0.9064,0.939
0.642752916,-0.2401,-0.0605,0.8995,0.933
0.645288333,-0.2435,-0.0644,0.8961,0.931
0.645963854,-0.2425,-0.0654,0.8951,0.930
0.653253176,-0.2386,-0.0668,0.8961,0.930
0.658357499,-0.2372,-0.0678,0.8990,0.932
0.659108176,-0.2333,-0.0683,0.9034,0.936
0.659509531,-0.2357,-0.0654,0.9078,0.940
0.666733645,-0.2347,-0.0619,0.9127,0.944
0.667768124,-0.2298,-0.0624,0.9161,0.947
0.668205885,-0.2303,-0.0595,0.9230,0.953
0.668497968,-0.2313,-0.0575,0.9313,0.961
0.670368749,-0.2303,-0.0570,0.9367,0.966
0.671276822,-0.2333,-0.0551,0.9464,0.976
0.675068645,-0.2386,-0.0526,0.9587,0.989
0.675602499,-0.2455,-0.0522,0.9665,0.999
0.679732343,-0.2513,-0.0517,0.9738,1.007
0.680219999,-0.2562,-0.0522,0.9797,1.014
0.691633124,-0.2577,-0.0497,0.9841,1.018
0.692671562,-0.2631,-0.0487,0.9880,1.024
0.693087395,-0.2660,-0.0487,0.9914,1.028
0.693396614,-0.2704,-0.0458,0.9943,1.031
0.696993593,-0.2753,-0.0419,0.9953,1.034
0.697462447,-0.2821,-0.0360,0.9953,1.035
0.702186666,-0.2855,-0.0302,0.9933,1.034
0.702612604,-0.2909,-0.0263,0.9885,1.031
0.705047708,-0.2968,-0.0243,0.9836,1.028
0.705888072,-0.3056,-0.0204,0.9802,1.027
0.710810624,-0.3134,-0.0155,0.9802,1.029
0.711317968,-0.3197,-0.0111,0.9797,1.031
0.71791802,-0.3251,-0.0062,0.9831,1.035
0.718578854,-0.3295,-0.0033,0.9870,1.041
0.726407864,-0.3320,-0.0013,0.9885,1.043
0.726967968,-0.3334,0.0031,0.9885,1.043
0.727291145,-0.3359,0.0055,0.9919,1.047
0.727571406,-0.3388,0.0109,0.9938,1.050
0.731182291,-0.3383,0.0138,0.9953,1.051
0.731707395,-0.3378,0.0153,0.9982,1.054
0.738755729,-0.3393,0.0182,1.0012,1.057
0.739306249,-0.3398,0.0206,1.0031,1.059
0.743512499,-0.3398,0.0226,1.0051,1.061
0.744407812,-0.3368,0.0275,1.0070,1.062
0.744783072,-0.3344,0.0314,1.0075,1.062
0.747792656,-0.3300,0.0363,1.0080,1.061
0.750651614,-0.3280,0.0426,1.0041,1.057
0.751085572,-0.3241,0.0475,0.9982,1.051
0.759435208,-0.3202,0.0519,0.9929,1.045
0.760257239,-0.3134,0.0553,0.9865,1.037
0.763571197,-0.3080,0.0592,0.9787,1.028
0.76402052,-0.3041,0.0607,0.9728,1.021
0.765280468,-0.3031,0.0632,0.9645,1.013
0.765560416,-0.3026,0.0646,0.9552,1.004
0.772195364,-0.3012,0.0646,0.9464,0.995
0.772952187,-0.3012,0.0632,0.9391,0.988
0.776243124,-0.3026,0.0617,0.9313,0.981
0.776758749,-0.3017,0.0617,0.9318,0.981
0.780782916,-0.3012,0.0583,0.9269,0.976
0.781296666,-0.3021,0.0568,0.9220,0.972
0.786364062,-0.2992,0.0529,0.9181,0.967
0.786982812,-0.2938,0.0500,0.9191,0.966
0.791611979,-0.2890,0.0490,0.9201,0.966
0.792643749,-0.2846,0.0485,0.9230,0.967
0.795849114,-0.2811,0.0524,0.9240,0.967
0.796318593,-0.2782,0.0612,0.9254,0.968
0.800314583,-0.2748,0.0671,0.9279,0.970
0.800776145,-0.2738,0.0719,0.9308,0.973
0.807038489,-0.2821,0.0807,0.9362,0.981
0.808018801,-0.2894,0.0886,0.9411,0.989
0.812792499,-0.2929,0.0964,0.9445,0.994
0.813316197,-0.2914,0.1022,0.9455,0.995
0.81902802,-0.2894,0.1066,0.9455,0.995
0.819897031,-0.2885,0.1130,0.9440,0.994
0.827754947,-0.2904,0.1184,0.9445,0.995
0.828810208,-0.2934,0.1218,0.9420,0.994
0.829197343,-0.2977,0.1218,0.9367,0.990
0.829512916,-0.3075,0.1218,0.9323,0.989
0.830474635,-0.3163,0.1218,0.9284,0.988
0.830781301,-0.3271,0.1203,0.9264,0.990
0.841809478,-0.3378,0.1174,0.9254,0.992
0.842760781,-0.3447,0.1130,0.9249,0.994
0.84310302,-0.3466,0.1125,0.9254,0.995
0.843339322,-0.3456,0.1130,0.9274,0.996
0.846423437,-0.3466,0.1164,0.9259,0.995
0.846946874,-0.3486,0.1213,0.9254,0.996
0.851902603,-0.3481,0.1267,0.9235,0.995
0.852445989,-0.3500,0.1355,0.9259,0.999
0.859598072,-0.3520,0.1399,0.9279,1.002
0.861382603,-0.3466,0.1413,0.9289,1.001
0.86376901,-0.3368,0.1408,0.9333,1.002
0.864157968,-0.3251,0.1408,0.9376,1.002
0.868559791,-0.3192,0.1462,0.9416,1.005
0.869098645,-0.3207,0.1516,0.9479,1.012
0.87235302,-0.3241,0.1535,0.9513,1.017
0.872861666,-0.3271,0.1570,0.9567,1.023
0.876966041,-0.3305,0.1584,0.9587,1.026
0.878847708,-0.3290,0.1555,0.9601,1.027
0.882750103,-0.3276,0.1555,0.9640,1.030
0.883308437,-0.3232,0.1521,0.9694,1.033
0.886270208,-0.3222,0.1496,0.9772,1.040
0.886784583,-0.3173,0.1496,0.9826,1.043
0.894141041,-0.3129,0.1477,0.9846,1.044
0.894902916,-0.3124,0.1487,0.9860,1.045
0.895181249,-0.3134,0.1526,0.9890,1.049
0.895414322,-0.3148,0.1550,0.9841,1.045
0.901002343,-0.3158,0.1609,0.9782,1.040
0.901535676,-0.3168,0.1648,0.9733,1.037
0.908643593,-0.3173,0.1706,0.9660,1.031
0.909499791,-0.3207,0.1721,0.9606,1.027
0.912658176,-0.3290,0.1741,0.9547,1.025
0.913219635,-0.3349,0.1755,0.9513,1.024
0.918890156,-0.3407,0.1746,0.9469,1.021
0.919401926,-0.3427,0.1687,0.9450,1.019
0.922967395,-0.3456,0.1672,0.9445,1.020
0.923759374,-0.3456,0.1643,0.9440,1.019
0.927608749,-0.3476,0.1619,0.9464,1.021
0.928170312,-0.3476,0.1594,0.9469,1.021
0.93325677,-0.3495,0.1570,0.9494,1.024
0.933942291,-0.3491,0.1506,0.9489,1.022
0.938389635,-0.3481,0.1482,0.9499,1.022
0.939004531,-0.3476,0.1408,0.9547,1.026
0.943522031,-0.3442,0.1364,0.9562,1.025
0.944396406,-0.3466,0.1350,0.9616,1.031
0.947233437,-0.3471,0.1296,0.9650,1.034
0.94771151,-0.3447,0.1247,0.9665,1.034
0.952029687,-0.3447,0.1203,0.9684,1.035
0.952541926,-0.3481,0.1213,0.9748,1.042
0.958452083,-0.3520,0.1169,0.9792,1.047
0.959390781,-0.3544,0.1135,0.9797,1.048
0.967989114,-0.3549,0.1110,0.9821,1.050
0.968605156,-0.3539,0.1091,0.9850,1.052
0.969004374,-0.3530,0.1066,0.9855,1.052
0.969373541,-0.3505,0.1013,0.9865,1.052
0.975473333,-0.3461,0.1003,0.9894,1.053
0.976307187,-0.3481,0.1003,0.9890,1.053
0.976625885,-0.3495,0.0993,0.9831,1.048
0.976902708,-0.3481,0.0969,0.9782,1.043
0.981725833,-0.3451,0.0974,0.9709,1.035
0.982276145,-0.3422,0.0964,0.9640,1.028
0.988162291,-0.3339,0.0983,0.9587,1.020
0.98871302,-0.3222,0.0983,0.9513,1.009
0.994068749,-0.3129,0.0969,0.9460,1.001
0.994967135,-0.3061,0.1022,0.9494,1.003
1.001394583,-0.2977,0.1042,0.9508,1.002
1.002289166,-0.2968,0.1027,0.9538,1.004
