time,gFx,gFy,gFz,TgF
0.003950885,0.0120,1.0013,-0.0171,1.002
0.004774323,0.0091,1.0032,-0.0156,1.003
0.005430625,0.0062,1.0032,-0.0156,1.003
0.006005937,0.0057,1.0018,-0.0142,1.002
0.006575468,0.0042,1.0028,-0.0127,1.003
0.007006302,0.0027,1.0008,-0.0093,1.001
0.008310208,0.0023,1.0008,-0.0078,1.001
0.008818229,0.0003,1.0008,-0.0083,1.001
0.014425989,-0.0007,1.0023,-0.0064,1.002
0.014952135,0.0018,1.0023,-0.0049,1.002
0.016428437,-0.0007,1.0018,-0.0059,1.002
0.016921354,0.0003,0.9998,-0.0044,1.000
0.029284114,-0.0007,1.0003,-0.0015,1.000
0.029823125,-0.0007,1.0013,0.0005,1.001
0.030140364,-0.0021,1.0003,-0.0049,1.000
0.03048776,-0.0007,1.0003,-0.0039,1.000
0.031090625,0.0003,0.9993,-0.0039,0.999
0.031515208,0.0003,1.0013,-0.0039,1.001
0.038425573,0.0023,1.0013,-0.0034,1.001
0.038942552,0.0018,0.9993,-0.0049,0.999
0.045574635,0.0003,1.0003,-0.0044,1.000
0.046044531,0.0008,0.9988,-0.0064,0.999
0.046480416,0.0008,0.9984,-0.0064,0.998
0.046855416,0.0018,0.9998,-0.0078,1.000
0.051194114,-0.0002,1.0003,-0.0068,1.000
0.051708698,-0.0002,1.0008,-0.0083,1.001
0.058002187,0.0023,1.0008,-0.0068,1.001
0.058578125,0.0023,0.9998,-0.0059,1.000
0.061090677,0.0027,0.9998,-0.0059,1.000
0.061540885,0.0032,0.9998,-0.0064,1.000
0.066699323,0.0027,0.9984,-0.0064,0.998
0.067261406,0.0023,1.0003,-0.0078,1.000
0.071182135,0.0013,1.0008,-0.0078,1.001
0.071742552,0.0027,0.9998,-0.0088,1.000
0.076670781,0.0042,0.9993,-0.0127,0.999
0.077092135,0.0047,1.0008,-0.0151,1.001
0.081042031,0.0042,1.0013,-0.0161,1.001
0.081397968,0.0032,1.0032,-0.0176,1.003
0.087365104,0.0047,1.0042,-0.0166,1.004
0.087845781,0.0057,1.0037,-0.0205,1.004
0.092092239,0.0052,1.0037,-0.0210,1.004
0.092546979,0.0071,1.0028,-0.0200,1.003
0.097321458,0.0071,1.0037,-0.0210,1.004
0.097944062,0.0062,1.0028,-0.0195,1.003
0.10185927,0.0052,1.0047,-0.0200,1.005
0.102540468,0.0047,1.0062,-0.0200,1.006
0.106934948,0.0057,1.0062,-0.0200,1.006
0.107587083,0.0081,1.0052,-0.0186,1.005
0.113168073,0.0076,1.0047,-0.0181,1.005
0.113956093,0.0081,1.0047,-0.0235,1.005
0.118314479,0.0067,1.0106,-0.0542,1.012
0.119077448,0.0047,1.0081,-0.0410,1.009
0.134145052,0.0081,1.0072,-0.0450,1.008
0.13511927,0.0076,1.0057,-0.0484,1.007
0.135623802,0.0062,1.0032,-0.0459,1.004
0.136021302,0.0037,1.0032,-0.0410,1.004
0.136419739,0.0013,1.0037,-0.0381,1.004
0.136816198,0.0008,1.0023,-0.0352,1.003
0.137408802,-0.0007,1.0023,-0.0327,1.003
0.137877083,0.0008,1.0023,-0.0269,1.003
0.143010781,0.0018,1.0013,-0.0254,1.002
0.144603177,-0.0002,1.0008,-0.0235,1.001
0.148849635,0.0008,1.0003,-0.0210,1.001
0.149574375,-0.0002,0.9984,-0.0200,0.999
0.158627864,-0.0021,0.9988,-0.0176,0.999
0.159416562,-0.0012,0.9998,-0.0161,1.000
0.159913541,0.0013,1.0013,-0.0151,1.001
0.160355104,0.0003,0.9998,-0.0156,1.000
0.170170416,-0.0002,0.9988,-0.0166,0.999
0.171045416,-0.0007,0.9998,-0.0166,1.000
0.171522135,0.0008,1.0008,-0.0156,1.001
0.17197,0.0023,0.9993,-0.0151,0.999
0.172420364,0.0008,1.0003,-0.0161,1.000
0.172861875,-0.0007,1.0013,-0.0156,1.001
0.177469114,-0.0007,1.0018,-0.0166,1.002
0.178123281,-0.0012,1.0032,-0.0181,1.003
0.183329375,-0.0007,1.0042,-0.0171,1.004
0.18384901,-0.0016,1.0032,-0.0176,1.003
0.188164895,-0.0016,1.0028,-0.0191,1.003
0.188738541,-0.0016,1.0018,-0.0195,1.002
0.204371406,-0.0012,1.0023,-0.0191,1.002
0.205396458,0.0008,1.0013,-0.0195,1.001
0.205925833,-0.0002,0.9998,-0.0230,1.000
0.20657177,0.0008,0.9988,-0.0225,0.999
0.207073489,0.0013,0.9974,-0.0210,0.998
0.207532031,0.0032,0.9959,-0.0215,0.996
0.208021979,0.0032,0.9979,-0.0215,0.998
0.208483333,0.0042,0.9974,-0.0220,0.998
0.221115937,0.0067,0.9969,-0.0210,0.997
0.222126875,0.0076,0.9974,-0.0200,0.998
0.222806302,0.0081,0.9969,-0.0161,0.997
0.223364531,0.0091,0.9964,-0.0156,0.997
0.238072343,0.0101,0.9964,-0.0142,0.997
0.238981666,0.0096,0.9954,-0.0127,0.996
0.239457604,0.0106,0.9954,-0.0107,0.996
0.239886614,0.0091,0.9954,-0.0088,0.996
0.240303125,0.0091,0.9969,-0.0073,0.997
0.240729427,0.0125,0.9964,-0.0073,0.997
0.241161406,0.0106,0.9974,-0.0068,0.997
0.241577447,0.0096,0.9979,-0.0073,0.998
0.242209114,0.0081,0.9998,-0.0049,1.000
0.242958802,0.0081,1.0023,-0.0039,1.002
0.269529843,0.0067,1.0018,-0.0044,1.002
0.270302708,0.0052,1.0013,-0.0059,1.001
0.270842135,0.0042,1.0028,-0.0049,1.003
0.271289843,0.0027,1.0028,-0.0044,1.003
0.271734947,0.0013,1.0028,-0.0020,1.003
0.272223906,0.0018,1.0028,-0.0005,1.003
0.272662708,0.0003,1.0037,-0.0005,1.004
0.273104375,-0.0002,1.0013,0.0005,1.001
0.273617083,-0.0021,1.0042,0.0010,1.004
0.27404927,-0.0036,1.0023,0.0015,1.002
0.274640416,-0.0056,1.0023,0.0010,1.002
0.274986145,-0.0060,1.0028,0.0024,1.003
0.277373437,-0.0070,1.0028,0.0010,1.003
0.277963958,-0.0104,1.0028,0.0020,1.003
0.284081458,-0.0114,1.0037,0.0015,1.004
0.284593072,-0.0124,1.0042,0.0015,1.004
0.303918177,-0.0119,1.0042,0.0024,1.004
0.305432343,-0.0109,1.0037,0.0024,1.004
0.306097604,-0.0134,1.0042,0.0029,1.004
0.306957083,-0.0129,1.0037,0.0015,1.004
0.307432187,-0.0148,1.0018,0.0005,1.002
0.307887343,-0.0129,1.0018,-0.0005,1.002
0.308325989,-0.0148,1.0013,-0.0015,1.001
0.308747604,-0.0158,1.0013,-0.0015,1.001
0.309143645,-0.0158,1.0028,-0.0034,1.003
0.3095675,-0.0144,1.0023,-0.0059,1.002
0.313228333,-0.0139,1.0008,-0.0073,1.001
0.313954062,-0.0144,1.0018,-0.0088,1.002
0.319215729,-0.0139,1.0023,-0.0098,1.002
0.319984479,-0.0129,1.0018,-0.0117,1.002
0.324830312,-0.0114,0.9993,-0.0132,0.999
0.325925729,-0.0095,1.0003,-0.0156,1.000
0.32815026,-0.0080,1.0023,-0.0151,1.002
0.328831302,-0.0080,1.0047,-0.0166,1.005
0.335256562,-0.0046,1.0047,-0.0181,1.005
0.335916614,-0.0036,1.0072,-0.0191,1.007
0.341589375,-0.0026,1.0086,-0.0186,1.009
0.342494375,0.0008,1.0076,-0.0156,1.008
0.354868281,0.0042,1.0076,-0.0147,1.008
0.355448697,0.0071,1.0062,-0.0147,1.006
0.355788229,0.0067,1.0042,-0.0142,1.004
0.356074427,0.0101,1.0028,-0.0107,1.003
0.35633875,0.0120,1.0018,-0.0078,1.002
0.356654531,0.0135,0.9988,-0.0020,0.999
0.364830885,0.0140,0.9984,0.0005,0.998
0.365521145,0.0164,0.9964,0.0059,0.997
0.36580677,0.0184,0.9954,0.0093,0.996
0.36607776,0.0203,0.9959,0.0137,0.996
0.367430052,0.0208,0.9949,0.0156,0.995
