time,gFx,gFy,gFz,TgF
0.003502031,0.0477,0.9940,-0.0958,1.000
0.004247135,0.0477,0.9920,-0.0963,0.998
0.004728958,0.0487,0.9901,-0.0963,0.996
0.005181354,0.0482,0.9876,-0.0958,0.993
0.005608333,0.0467,0.9891,-0.0948,0.995
0.006012656,0.0457,0.9896,-0.0953,0.995
0.014818177,0.0472,0.9891,-0.0938,0.995
0.015450729,0.0462,0.9891,-0.0933,0.995
0.016118229,0.0482,0.9891,-0.0953,0.995
0.016624479,0.0487,0.9920,-0.0953,0.998
0.018783906,0.0477,0.9915,-0.0972,0.997
0.019366979,0.0467,0.9935,-0.0963,0.999
0.029276823,0.0462,0.9944,-0.0982,1.000
0.02992125,0.0462,0.9959,-0.0972,1.002
0.030298906,0.0462,0.9954,-0.0977,1.001
0.030638021,0.0457,0.9974,-0.0967,1.003
0.034790416,0.0448,0.9993,-0.0967,1.005
0.035327916,0.0462,0.9993,-0.0953,1.005
0.039098333,0.0457,0.9998,-0.0953,1.005
0.039735833,0.0453,1.0008,-0.0967,1.006
0.042869843,0.0457,1.0003,-0.0958,1.006
0.043346979,0.0448,0.9979,-0.0938,1.003
0.047728906,0.0438,0.9979,-0.0948,1.003
0.048307396,0.0453,0.9969,-0.0953,1.002
0.053602708,0.0457,0.9964,-0.0938,1.002
0.054217812,0.0497,0.9959,-0.0923,1.001
0.057744739,0.0526,0.9949,-0.0923,1.001
0.058209062,0.0526,0.9949,-0.0919,1.001
0.062726302,0.0526,0.9944,-0.0923,1.000
0.063117343,0.0506,0.9959,-0.0928,1.002
0.070002448,0.0487,0.9944,-0.0943,1.000
0.070567343,0.0467,0.9949,-0.0963,1.001
0.081835625,0.0453,0.9940,-0.0963,1.000
0.082676198,0.0448,0.9935,-0.0977,0.999
0.083108593,0.0428,0.9935,-0.0967,0.999
0.08354151,0.0423,0.9920,-0.0977,0.998
0.084097916,0.0428,0.9920,-0.0972,0.998
0.084515156,0.0438,0.9915,-0.0967,0.997
0.088951771,0.0443,0.9930,-0.0972,0.999
0.089792604,0.0457,0.9930,-0.0967,0.999
0.094190833,0.0457,0.9944,-0.0972,1.000
0.094906041,0.0457,0.9959,-0.0967,1.002
0.100044323,0.0467,0.9940,-0.0948,1.000
0.100761146,0.0462,0.9940,-0.0953,1.000
0.117394271,0.0477,0.9954,-0.0928,1.001
0.118342812,0.0497,0.9954,-0.0923,1.001
0.118861041,0.0492,0.9979,-0.0923,1.003
0.119300312,0.0501,0.9988,-0.0919,1.004
0.119879166,0.0492,0.9974,-0.0914,1.003
0.120291146,0.0497,0.9959,-0.0904,1.001
