time,gFx,gFy,gFz,TgF
0.002805729,0.1083,0.9988,0.0283,1.005
0.003375781,0.1093,0.9984,0.0293,1.005
0.003710938,0.1112,0.9988,0.0303,1.005
0.003996719,0.1117,0.9993,0.0308,1.006
0.006980156,0.1112,0.9988,0.0308,1.005
0.007509271,0.1107,0.9974,0.0308,1.004
0.01223849,0.1098,0.9988,0.0303,1.005
0.012784688,0.1107,0.9984,0.0288,1.005
0.016784167,0.1102,0.9974,0.0298,1.004
0.017190208,0.1073,0.9969,0.0279,1.003
0.023425469,0.1073,0.9984,0.0254,1.004
0.023883021,0.1049,0.9974,0.0239,1.003
0.027393854,0.1049,0.9954,0.0244,1.001
0.027806563,0.1058,0.9949,0.0249,1.001
0.032941979,0.1044,0.9944,0.0244,1.000
0.033392292,0.1049,0.9940,0.0220,1.000
0.03802776,0.1044,0.9979,0.0210,1.004
0.038446563,0.1039,0.9974,0.0200,1.003
0.048588021,0.1054,0.9959,0.0195,1.002
0.049193021,0.1049,0.9974,0.0181,1.003
0.049482865,0.1024,0.9993,0.0181,1.005
0.049753594,0.1034,1.0013,0.0176,1.007
0.052599583,0.1054,1.0028,0.0191,1.008
0.053140833,0.1063,1.0018,0.0195,1.008
0.057843698,0.1068,1.0003,0.0186,1.006
0.058381979,0.1078,0.9998,0.0191,1.006
0.0622775,0.1093,1.0013,0.0210,1.007
0.06282125,0.1112,1.0013,0.0215,1.008
0.067293125,0.1117,1.0018,0.0210,1.008
0.067686719,0.1122,1.0008,0.0220,1.007
0.073773229,0.1107,1.0008,0.0215,1.007
0.074240104,0.1102,1.0018,0.0220,1.008
0.07806526,0.1098,1.0008,0.0195,1.007
0.07849901,0.1093,1.0013,0.0205,1.007
0.08272224,0.1098,0.9998,0.0195,1.006
0.08322974,0.1112,0.9993,0.0200,1.006
0.094754583,0.1107,0.9964,0.0191,1.003
0.095458594,0.1117,0.9944,0.0210,1.001
0.095845208,0.1112,0.9940,0.0220,1.000
0.096158802,0.1117,0.9940,0.0230,1.000
0.09752224,0.1122,0.9925,0.0215,0.999
0.09798974,0.1142,0.9925,0.0239,0.999
0.102303698,0.1146,0.9935,0.0239,1.000
0.102653073,0.1151,0.9940,0.0249,1.001
0.10828526,0.1137,0.9944,0.0254,1.001
0.108850417,0.1127,0.9959,0.0269,1.003
0.114218021,0.1127,0.9954,0.0259,1.002
0.114721354,0.1132,0.9979,0.0249,1.005
0.118259167,0.1142,0.9988,0.0269,1.006
0.118713906,0.1127,0.9984,0.0298,1.005
0.123675729,0.1127,0.9988,0.0308,1.006
0.124404687,0.1122,1.0018,0.0283,1.008
0.128031302,0.1117,1.0013,0.0293,1.008
0.128718281,0.1112,1.0003,0.0318,1.007
0.13375401,0.1112,0.9998,0.0322,1.007
0.134400573,0.1117,1.0003,0.0322,1.007
